game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
21,40181062828,28,155,Defensive Rebound,Mark Williams defensive rebound,1,2,1,1st Quarter,9:35,FALSE,0,21,4701232,,,2026-02-11T02:13:50Z,FALSE,39,2,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,9:35,9,35,FALSE,FALSE,1,1,1,1,575,1295,2735,567,1287,2727,1,1,1,39.75,-14,2026-02-10,2026-02-11T02:00:00Z,
22,40181062829,29,114,Turnaround Jump Shot,Dillon Brooks makes 9-foot turnaround jump shot,1,4,1,1st Quarter,9:27,TRUE,2,21,3155526,,,2026-02-11T02:13:57Z,TRUE,21,9,2,+2 Points,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,9:27,9,27,FALSE,FALSE,1,1,1,1,567,1287,2727,542,1262,2702,1,1,1,32.75,4,2026-02-10,2026-02-11T02:00:00Z,
23,40181062831,31,63,Lost Ball Turnover,P.J. Washington lost ball turnover (Collin Gillespie steals),1,4,1,1st Quarter,9:02,FALSE,0,6,4278078,4278585,,2026-02-11T02:14:37Z,FALSE,14,30,0,Turnover,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,9:02,9,2,FALSE,FALSE,1,1,1,1,542,1262,2702,537,1257,2697,1,1,1,-11.75,-11,2026-02-10,2026-02-11T02:00:00Z,
24,40181062833,33,116,Running Dunk Shot,Mark Williams makes 2-foot running dunk (Collin Gillespie assists),1,6,1,1st Quarter,8:57,TRUE,2,21,4701232,4278585,,2026-02-11T02:14:42Z,TRUE,25,2,2,+2 Points,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:57,8,57,FALSE,FALSE,1,1,1,1,537,1257,2697,523,1243,2683,1,1,1,39.75,-0,2026-02-10,2026-02-11T02:00:00Z,
25,40181062835,35,92,Jump Shot,Tyus Jones misses 26-foot three point jumper,1,6,1,1st Quarter,8:43,FALSE,0,6,3135046,,,2026-02-11T02:14:57Z,TRUE,44,19,3,Missed 3PT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:43,8,43,FALSE,FALSE,1,1,1,1,523,1243,2683,521,1241,2681,1,1,1,-22.75,19,2026-02-10,2026-02-11T02:00:00Z,
26,40181062836,36,155,Defensive Rebound,Suns defensive team rebound,1,6,1,1st Quarter,8:41,FALSE,0,21,,,,2026-02-11T02:14:59Z,FALSE,44,19,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:41,8,41,FALSE,FALSE,1,1,1,1,521,1241,2681,512,1232,2672,1,1,1,22.75,-19,2026-02-10,2026-02-11T02:00:00Z,
27,40181062838,38,131,Pullup Jump Shot,Devin Booker makes 26-foot three pointer (Royce O'Neale assists),1,9,1,1st Quarter,8:32,TRUE,3,21,3136193,2583632,,2026-02-11T02:15:16Z,TRUE,8,21,3,+3 Points,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:32,8,32,FALSE,FALSE,1,1,1,1,512,1232,2672,510,1230,2670,1,1,1,20.75,17,2026-02-10,2026-02-11T02:00:00Z,
28,40181062840,40,16,Full Timeout,Mavericks Full timeout,1,9,1,1st Quarter,8:30,FALSE,0,6,,,,2026-02-11T02:15:22Z,FALSE,-214748340,-214748365,0,Timeout,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:30,8,30,FALSE,FALSE,1,1,1,1,510,1230,2670,489,1209,2649,1,1,1,-214748406.75,-214748365,2026-02-10,2026-02-11T02:00:00Z,
29,40181062841,41,121,Fade Away Jump Shot,Max Christie misses 10-foot fade away jump shot,1,9,1,1st Quarter,8:09,FALSE,0,6,4432582,,,2026-02-11T02:18:32Z,TRUE,30,10,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:09,8,9,FALSE,FALSE,1,1,1,1,489,1209,2649,483,1203,2643,1,1,1,-31.75,5,2026-02-10,2026-02-11T02:00:00Z,
30,40181062842,42,155,Defensive Rebound,Collin Gillespie defensive rebound,1,9,1,1st Quarter,8:03,FALSE,0,21,4278585,,,2026-02-11T02:18:38Z,FALSE,30,10,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:03,8,3,FALSE,FALSE,1,1,1,1,483,1203,2643,480,1200,2640,1,1,1,31.75,-5,2026-02-10,2026-02-11T02:00:00Z,
